tags: darakwon 11-과

[sound:결혼식.mp3]	결혼식	cérémonie de mariage
[sound:탈_거예요.mp3]	탈 거예요<div class="활용"><div class="bloc"><div class="부정사">타다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">타요</div><div class="과거">탔어요</div><div class="미래">탈 거예요</div><div class="명령법">타세요</div></div><div class="bloc"><div class="고">타고</div><div class="지만">타지만</div><div class="는데">타는데</div><div class="면">타면</div></div></div>	il montera<p class="small">(dans un véhicule)</p><hr/>il prendra <p class="small">(un moyen de transport)</p><p class="small">(해요체, registre informel poli)</p>

[sound:테니스해요.mp3]	테니스해요<div class="활용"><div class="bloc"><div class="부정사">테니스하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">테니스해요</div><div class="과거">테니스했어요</div><div class="미래">테니스할 거예요</div></div><div class="bloc"><div class="고">테니스하고</div><div class="지만">테니스하지만</div><div class="는데">테니스하는데</div><div class="면">테니스하면</div></div></div>	il joue au tennis<p class="small">(해요체, registre informel poli)</p>
[sound:테니스했어요.mp3]	테니스했어요<div class="활용"><div class="bloc"><div class="부정사">테니스하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">테니스해요</div><div class="과거">테니스했어요</div><div class="미래">테니스할 거예요</div></div><div class="bloc"><div class="고">테니스하고</div><div class="지만">테니스하지만</div><div class="는데">테니스하는데</div><div class="면">테니스하면</div></div></div>	il jouait au tennis<p class="small">(해요체, registre informel poli)</p>
[sound:테니스할_거예요.mp3]	테니스할 거예요<div class="활용"><div class="bloc"><div class="부정사">테니스하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">테니스해요</div><div class="과거">테니스했어요</div><div class="미래">테니스할 거예요</div></div><div class="bloc"><div class="고">테니스하고</div><div class="지만">테니스하지만</div><div class="는데">테니스하는데</div><div class="면">테니스하면</div></div></div>	il jouera au tennis<p class="small">(해요체, registre informel poli)</p>

[sound:편해요.mp3]	편해요<div class="활용"><div class="bloc"><div class="부정사">편하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">편해요</div><div class="과거">편했어요</div><div class="미래">편할 거예요</div></div><div class="bloc"><div class="고">편하고</div><div class="지만">편하지만</div><div class="는데">편한데</div><div class="면">편하면</div></div></div>	il est pratique, confortable<p class="small">(해요체, registre informel poli)</p>
[sound:편했어요.mp3]	편했어요 <span class="발음">[편해써요]</span><div class="활용"><div class="bloc"><div class="부정사">편하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">편해요</div><div class="과거">편했어요</div><div class="미래">편할 거예요</div></div><div class="bloc"><div class="고">편하고</div><div class="지만">편하지만</div><div class="는데">편한데</div><div class="면">편하면</div></div></div>	il était pratique, confortable<p class="small">(해요체, registre informel poli)</p>
[sound:편할_거예요.mp3]	편할 거예요<div class="활용"><div class="bloc"><div class="부정사">편하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">편해요</div><div class="과거">편했어요</div><div class="미래">편할 거예요</div></div><div class="bloc"><div class="고">편하고</div><div class="지만">편하지만</div><div class="는데">편한데</div><div class="면">편하면</div></div></div>	il sera pratique, confortable<p class="small">(해요체, registre informel poli)</p>

[sound:표시.mp3]	표시	marque, balise
[sound:표시하다.mp3]	<div class="활용"><div class="bloc"><div class="부정사" style="font-size: 150%">표시하다</div><div class="불규칙">(동사)</div></div></div>	marquer, cocher<ul><li>verbe régulier</li></ul>
[sound:표시하세요.mp3]	표시하세요<div class="활용"><div class="bloc"><div class="부정사">표시하다</div><div class="불규칙">(동사)</div><div class="명령법">표시하세요</div></div></div>	marquez, cochez<p class="small">(impératif honorifique)</p>
[sound:표시해요.mp3]	표시해요<div class="활용"><div class="bloc"><div class="부정사">표시하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">표시해요</div><div class="과거">표시했어요</div><div class="미래">표시할 거예요</div><div class="명령법">표시하세요</div></div><div class="bloc"><div class="고">표시하고</div><div class="지만">표시하지만</div><div class="는데">표시하는데</div><div class="면">표시하면</div></div></div>	il marque, il coche<p class="small">(해요체, registre informel poli)</p>
[sound:표시했어요.mp3]	표시했어요<div class="활용"><div class="bloc"><div class="부정사">표시하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">표시해요</div><div class="과거">표시했어요</div><div class="미래">표시할 거예요</div><div class="명령법">표시하세요</div></div><div class="bloc"><div class="고">표시하고</div><div class="지만">표시하지만</div><div class="는데">표시하는데</div><div class="면">표시하면</div></div></div>	il marquait, il cochait<p class="small">(해요체, registre informel poli)</p>
[sound:표시할_거예요.mp3]	표시할 거예요<div class="활용"><div class="bloc"><div class="부정사">표시하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">표시해요</div><div class="과거">표시했어요</div><div class="미래">표시할 거예요</div><div class="명령법">표시하세요</div></div><div class="bloc"><div class="고">표시하고</div><div class="지만">표시하지만</div><div class="는데">표시하는데</div><div class="면">표시하면</div></div></div>	il marquera, il cochera<p class="small">(해요체, registre informel poli)</p>

[sound:피곤해요.mp3]	피곤해요<div class="활용"><div class="bloc"><div class="부정사">피곤하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">피곤해요</div><div class="과거">피곤했어요</div><div class="미래">피곤할 거예요</div></div><div class="bloc"><div class="고">피곤하고</div><div class="지만">피곤하지만</div><div class="는데">피곤한데</div><div class="면">피곤하면</div></div></div>	il est fatigué<p class="small">(해요체, registre informel poli)</p>
[sound:피곤했어요.mp3]	피곤했어요<div class="활용"><div class="bloc"><div class="부정사">피곤하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">피곤해요</div><div class="과거">피곤했어요</div><div class="미래">피곤할 거예요</div></div><div class="bloc"><div class="고">피곤하고</div><div class="지만">피곤하지만</div><div class="는데">피곤한데</div><div class="면">피곤하면</div></div></div>	il était fatigué<p class="small">(해요체, registre informel poli)</p>
[sound:피곤할_거예요.mp3]	피곤할 거예요<div class="활용"><div class="bloc"><div class="부정사">피곤하다</div><div class="불규칙">(형용사)</div></div><div class="bloc"><div class="현재">피곤해요</div><div class="과거">피곤했어요</div><div class="미래">피곤할 거예요</div></div><div class="bloc"><div class="고">피곤하고</div><div class="지만">피곤하지만</div><div class="는데">피곤한데</div><div class="면">피곤하면</div></div></div>	il sera fatigué<p class="small">(해요체, registre informel poli)</p>

[sound:해당해요.mp3]	해당해요<div class="활용"><div class="bloc"><div class="부정사">해당하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해당해요</div><div class="과거">해당했어요</div><div class="미래">해당할 거예요</div></div><div class="bloc"><div class="고">해당하고</div><div class="지만">해당하지만</div><div class="는데">해당하는데</div><div class="면">해당하면</div></div></div>	il correspond<p class="small">il est approprié, pertinent</p><p class="small">(해요체, registre informel poli)</p>
[sound:해당했어요.mp3]	해당했어요<div class="활용"><div class="bloc"><div class="부정사">해당하다</div><div class="불규칙">(동사)</div></div><div class="bloc"><div class="현재">해당해요</div><div class="과거">해당했어요</div><div class="미래">해당할 거예요</div></div><div class="bloc"><div class="고">해당하고</div><div class="지만">해당하지만</div><div class="는데">해당하는데</div><div class="면">해당하면</div></div></div>	il correspondait<p class="small">il était approprié, pertinent</p><p class="small">(해요체, registre informel poli)</p>
